entry_time,exit_time,side,entry_price,exit_price,tp,sl,bars_held,pnl,return,exit_reason
2025-07-25 13:45:00+00:00,2025-07-25 17:45:00+00:00,long,116216.27,116042.5,118449.07800000001,114820.765,16,-173.77000000000407,-0.0014952295405798522,timeout
2025-07-25 18:45:00+00:00,2025-07-25 22:45:00+00:00,long,116491.53,117279.97,118811.90371428571,115041.29642857143,16,788.4400000000023,0.006768217397436555,timeout
2025-07-26 00:15:00+00:00,2025-07-26 04:15:00+00:00,long,117547.07,117495.35,119755.51228571429,116166.79357142858,16,-51.720000000001164,-0.0004399939530606859,timeout
2025-07-26 05:15:00+00:00,2025-07-26 09:15:00+00:00,long,117540.17,117478.5,119619.38485714285,116240.66071428571,16,-61.669999999998254,-0.0005246716930901006,timeout
2025-07-26 10:15:00+00:00,2025-07-26 14:15:00+00:00,long,117769.99,118004.18,119861.35800000001,116462.88500000001,16,234.18999999998778,0.0019885371477062004,timeout
2025-07-26 15:15:00+00:00,2025-07-26 19:15:00+00:00,long,117875.88,118088.85,119846.18742857143,116644.43785714287,16,212.97000000000116,0.001806730944447678,timeout
2025-07-26 20:15:00+00:00,2025-07-27 00:15:00+00:00,short,117940.76,117844.56,116611.17542857143,118827.14971428571,16,96.19999999999709,0.0008156637281292497,timeout
2025-07-27 01:15:00+00:00,2025-07-27 05:15:00+00:00,long,118134.75,118260.0,119848.886,117063.41500000001,16,125.25,0.001060229949274028,timeout
2025-07-27 06:15:00+00:00,2025-07-27 10:15:00+00:00,short,118280.02,118144.0,117034.84171428572,119110.13885714285,16,136.02000000000407,0.0011499828965196664,timeout
2025-07-27 11:15:00+00:00,2025-07-27 15:15:00+00:00,long,118200.24,118475.75,119553.29714285715,117354.5792857143,16,275.50999999999476,0.0023308751318947807,timeout
2025-07-27 16:15:00+00:00,2025-07-27 20:15:00+00:00,short,119360.0,118991.47,118477.41971428572,119948.38685714286,16,368.52999999999884,0.003087550268096505,timeout
2025-07-27 21:15:00+00:00,2025-07-28 01:15:00+00:00,long,119043.73,119390.0,120140.95171428571,118357.96642857142,16,346.2700000000041,0.002908763023470485,timeout
