side,entry_idx,exit_idx,entry,exit,pnl,hold_bars,reason,timestamp_entry,timestamp_exit
short,1440,1441,106273.79,105841.19514285713,432.59485714285984,1,tp,2025-05-20 18:15:00+00:00,2025-05-20 18:30:00+00:00
short,1447,1448,107026.47,106470.81171428572,555.6582857142785,1,tp,2025-05-20 20:00:00+00:00,2025-05-20 20:15:00+00:00
long,1537,1541,106658.55,107906.56257142857,1248.0125714285678,4,tp,2025-05-21 18:30:00+00:00,2025-05-21 19:30:00+00:00
long,1549,1554,108074.85,108941.0,866.1499999999942,4,time,2025-05-21 21:30:00+00:00,2025-05-21 22:45:00+00:00
short,1574,1575,111313.96,111745.7382857143,-431.77828571428836,1,sl,2025-05-22 03:45:00+00:00,2025-05-22 04:00:00+00:00
short,1576,1581,111391.29,111448.99,-57.70000000001164,4,time,2025-05-22 04:15:00+00:00,2025-05-22 05:30:00+00:00
short,1582,1583,111426.48,110900.95971428571,525.5202857142867,1,tp,2025-05-22 05:45:00+00:00,2025-05-22 06:00:00+00:00
short,1630,1635,111749.98,111727.27,22.70999999999185,4,time,2025-05-22 17:45:00+00:00,2025-05-22 19:00:00+00:00
long,1704,1709,108127.98,108703.03,575.0500000000029,4,time,2025-05-23 12:15:00+00:00,2025-05-23 13:30:00+00:00
long,1738,1742,108421.71,108097.91357142858,-323.7964285714261,4,sl,2025-05-23 20:45:00+00:00,2025-05-23 21:45:00+00:00
long,1763,1765,107803.84,108342.87085714286,539.0308571428614,2,tp,2025-05-24 03:00:00+00:00,2025-05-24 03:30:00+00:00
short,1849,1850,108017.04,107565.31114285714,451.72885714285076,1,tp,2025-05-25 00:30:00+00:00,2025-05-25 00:45:00+00:00
short,1853,1858,107872.5,107724.0,148.5,4,time,2025-05-25 01:30:00+00:00,2025-05-25 02:45:00+00:00
short,2013,2014,109370.26,108930.61685714286,439.6431428571377,1,tp,2025-05-26 17:30:00+00:00,2025-05-26 17:45:00+00:00
long,2366,2367,105045.67,105645.73857142856,600.0685714285646,1,tp,2025-05-30 09:45:00+00:00,2025-05-30 10:00:00+00:00
short,2774,2776,106678.45,106274.82742857143,403.62257142856834,2,tp,2025-06-03 15:45:00+00:00,2025-06-03 16:15:00+00:00
long,2988,2989,100489.24,101496.02057142857,1006.7805714285641,1,tp,2025-06-05 21:15:00+00:00,2025-06-05 21:30:00+00:00
long,3062,3067,104696.57,104758.27,61.69999999999709,4,time,2025-06-06 15:45:00+00:00,2025-06-06 17:00:00+00:00
long,3673,3675,103721.52,103200.37857142858,-521.1414285714272,2,sl,2025-06-13 00:30:00+00:00,2025-06-13 01:00:00+00:00
long,3676,3678,102906.36,103862.24571428572,955.885714285716,2,tp,2025-06-13 01:15:00+00:00,2025-06-13 01:45:00+00:00
long,3738,3740,105612.0,105144.67357142858,-467.3264285714249,2,sl,2025-06-13 16:45:00+00:00,2025-06-13 17:15:00+00:00
long,4056,4057,106231.9,106978.58914285713,746.6891428571398,1,tp,2025-06-17 00:15:00+00:00,2025-06-17 00:30:00+00:00
short,4209,4210,105166.34,104735.59914285714,430.7408571428532,1,tp,2025-06-18 14:30:00+00:00,2025-06-18 14:45:00+00:00
short,4224,4225,104347.52,104652.93428571429,-305.41428571428696,1,sl,2025-06-18 18:15:00+00:00,2025-06-18 18:30:00+00:00
short,4226,4227,104468.0,103981.77114285715,486.22885714285076,1,tp,2025-06-18 18:45:00+00:00,2025-06-18 19:00:00+00:00
short,4241,4246,104981.38,104649.09,332.29000000000815,4,time,2025-06-18 22:30:00+00:00,2025-06-18 23:45:00+00:00
long,4403,4405,103940.01,104519.45114285714,579.4411428571475,2,tp,2025-06-20 15:00:00+00:00,2025-06-20 15:30:00+00:00
long,4590,4591,100343.92,100893.99885714285,550.0788571428566,1,tp,2025-06-22 13:45:00+00:00,2025-06-22 14:00:00+00:00
long,4617,4618,98517.85,99164.30028571429,646.4502857142797,1,tp,2025-06-22 20:30:00+00:00,2025-06-22 20:45:00+00:00
short,4688,4689,102259.07,101770.45142857144,488.6185714285675,1,tp,2025-06-23 14:15:00+00:00,2025-06-23 14:30:00+00:00
short,4721,4722,105988.0,105292.58371428572,695.4162857142801,1,tp,2025-06-23 22:30:00+00:00,2025-06-23 22:45:00+00:00
long,4894,4898,107001.92,107512.98171428572,511.0617142857227,4,tp,2025-06-25 17:45:00+00:00,2025-06-25 18:45:00+00:00
short,6248,6249,111350.86,110866.25714285714,484.60285714286147,1,tp,2025-07-09 20:15:00+00:00,2025-07-09 20:30:00+00:00
long,6338,6343,113059.34,113301.81,242.47000000000116,4,time,2025-07-10 18:45:00+00:00,2025-07-10 20:00:00+00:00
long,6711,6712,119878.22,119380.86428571428,-497.3557142857171,1,sl,2025-07-14 16:00:00+00:00,2025-07-14 16:15:00+00:00
short,6925,6926,119940.78,119476.17257142857,464.6074285714276,1,tp,2025-07-16 21:30:00+00:00,2025-07-16 21:45:00+00:00
long,6996,7001,118440.76,118559.99,119.23000000001048,4,time,2025-07-17 15:15:00+00:00,2025-07-17 16:30:00+00:00
long,7090,7095,117761.56,117860.25,98.69000000000233,4,time,2025-07-18 14:45:00+00:00,2025-07-18 16:00:00+00:00
short,7332,7337,118430.54,118451.52,-20.980000000010477,4,time,2025-07-21 03:15:00+00:00,2025-07-21 04:30:00+00:00
long,7443,7444,117847.26,118427.16285714286,579.9028571428644,1,tp,2025-07-22 07:00:00+00:00,2025-07-22 07:15:00+00:00
long,7448,7450,117686.65,118307.83171428571,621.181714285718,2,tp,2025-07-22 08:15:00+00:00,2025-07-22 08:45:00+00:00
short,7492,7493,119817.43,119320.11485714285,497.31514285714366,1,tp,2025-07-22 19:15:00+00:00,2025-07-22 19:30:00+00:00
short,7678,7683,119193.81,119044.29,149.52000000000407,4,time,2025-07-24 17:45:00+00:00,2025-07-24 19:00:00+00:00
short,8243,8244,118714.35,118231.38,482.97000000000116,1,tp,2025-07-30 15:00:00+00:00,2025-07-30 15:15:00+00:00
long,8260,8262,116282.9,116884.09428571428,601.1942857142858,2,tp,2025-07-30 19:15:00+00:00,2025-07-30 19:45:00+00:00
long,8447,8448,114420.0,113957.89071428572,-462.1092857142794,1,sl,2025-08-01 18:00:00+00:00,2025-08-01 18:15:00+00:00
short,8549,8550,112708.01,112277.91457142857,430.09542857142515,1,tp,2025-08-02 19:30:00+00:00,2025-08-02 19:45:00+00:00
