X_SL_ATR,Y_TP_ATR,hit,bars_held,return_pct
2.0,1.5,TP,4,0.009755989450102065
1.75,3.5,TIMEOUT,16,0.00420512648008606
2.0,2.5,SL,14,-0.004220946672152769
1.5,3.0,SL,8,-0.008725044594899152
2.0,2.5,TP,14,0.011664696468624882
2.0,1.5,SL,6,-0.0041837992676191154
1.0,3.0,SL,15,-0.005221114378737786
1.5,3.5,TIMEOUT,16,0.0007961403481699654
1.5,2.0,TIMEOUT,16,0.003980052278362153
1.5,1.5,TP,14,0.007837354112030275
1.25,1.5,SL,8,-0.0032275961868423087
1.75,3.5,SL,2,-0.004087700938021038
2.0,3.5,SL,12,-0.006796010074263954
1.25,2.0,TIMEOUT,16,0.0009913653675463114
1.5,1.5,SL,4,-0.0037507025448629203
1.5,2.5,SL,8,-0.004029476847914517
1.25,1.5,SL,1,-0.0034109241361587887
1.0,2.0,TP,4,0.0055385868606265855
2.0,1.5,TP,2,0.0041973573540726415
1.5,1.5,TP,2,0.004903931724763979
1.25,3.5,SL,6,-0.0030755595226054496
1.0,3.0,SL,1,-0.003951681557348577
1.25,3.5,TIMEOUT,16,0.0011504848819475883
1.5,2.5,TIMEOUT,16,0.001385450671872088
1.5,3.0,TIMEOUT,16,0.009082847037557632
1.75,2.0,TIMEOUT,16,0.0007441002263776159
1.5,1.5,TIMEOUT,16,0.0022428191825889362
2.0,2.5,SL,10,-0.003457523897208379
1.5,1.5,SL,4,-0.00505338914348181
1.25,3.0,SL,10,-0.004154938326664427
1.0,3.0,SL,9,-0.006459813960672263
2.0,3.0,TP,16,0.008617758373474662
2.0,2.5,SL,10,-0.002730188979223251
1.25,2.0,SL,11,-0.002624668895399669
1.75,1.5,SL,3,-0.001465547797276755
1.0,3.0,SL,2,-0.006090661872570352
2.0,2.0,TP,5,0.0026299571521977484
1.0,2.5,SL,8,-0.002543956041420462
1.5,3.5,TIMEOUT,16,0.00910084673199502
1.5,1.5,TP,3,0.008042852587247308
2.0,1.5,SL,6,-0.004574855336728229
1.5,3.0,SL,4,-0.004513548037736138
1.5,2.5,SL,16,-0.004060560768553995
1.25,2.5,TP,10,0.010014583567494635
1.75,2.0,SL,5,-0.0031583078879433937
2.0,2.5,TP,12,0.012759869173215276
1.5,2.5,SL,4,-0.009619348481796554
1.25,3.0,TP,5,0.01764449247242488
1.75,1.5,TIMEOUT,16,-0.001103558176064856
1.0,3.5,TIMEOUT,16,0.004206475317099546
1.75,3.5,SL,13,-0.005771201257026435
1.0,2.0,SL,3,-0.0026502483902198872
1.0,3.5,SL,5,-0.005380968248763119
2.0,3.0,TIMEOUT,16,0.0026610106828196213
1.0,2.0,SL,11,-0.006330938326597809
1.0,3.5,SL,7,-0.0015180540531884736
1.5,3.5,SL,3,-0.0018929264651697856
1.5,2.5,SL,6,-0.0013233706879388837
2.0,2.0,TIMEOUT,16,0.0021026956429800194
1.5,2.5,SL,4,-0.008652455725045154
1.25,1.5,TP,1,0.002577327738004968
1.5,2.5,SL,12,-0.0064951196491974325
1.0,3.5,SL,1,-0.0015538539536780725
1.0,3.5,TIMEOUT,16,0.001228809478311404
1.25,2.0,SL,2,-0.0019054686746728185
1.5,3.5,SL,1,-0.0044559595546210164
1.5,1.5,SL,1,-0.0052764330412965925
2.0,3.0,SL,7,-0.004345222869061382
1.0,3.5,SL,4,-0.001787155697998277
1.0,3.0,TP,13,0.00655729832116724
2.0,3.5,TIMEOUT,16,0.0021856161104755905
1.5,3.0,TP,3,0.0028007580185617246
2.0,3.0,SL,9,-0.0106430927687555
1.25,3.0,SL,5,-0.0030466517320420538
1.25,2.0,SL,3,-0.0016617618740492712
1.0,2.0,SL,2,-0.006125425471649537
1.75,2.5,TP,9,0.005468121078087033
2.0,3.5,SL,1,-0.0018645430149127388
1.25,3.5,TP,13,0.008764001313459495
1.0,1.5,TP,1,0.004575760986721208
1.0,1.5,TP,2,0.004433017123922941
1.0,1.5,SL,9,-0.004740099540399612
1.0,1.5,SL,1,-0.00355297590875465
2.0,2.0,SL,9,-0.0035907889211737767
2.0,1.5,SL,10,-0.0076764766408014724
1.75,3.5,SL,1,-0.008627287367817076
1.0,3.0,SL,5,-0.002823778339293343
1.75,1.5,TP,4,0.005194725116274001
1.25,3.5,TIMEOUT,16,0.01158728732515313
1.25,2.0,TP,7,0.005257739710462719
1.75,2.5,SL,5,-0.005035022136069413
1.75,2.5,SL,3,-0.003546125949556935
1.25,2.0,TP,12,0.0052023471573631585
2.0,1.5,TP,5,0.002576209085656114
1.25,2.5,SL,3,-0.0020962572543044046
1.0,3.5,SL,1,-0.002381909158391832
1.75,3.5,TIMEOUT,16,0.0034780186031913864
1.0,3.0,SL,16,-0.0012050648494851435
2.0,3.0,TP,15,0.01066496480066032
2.0,3.5,TIMEOUT,16,0.0006666031171694965
1.0,3.0,SL,3,-0.00147397950134985
1.25,1.5,SL,4,-0.0033107611071016676
1.75,1.5,SL,1,-0.004190943959192192
1.75,2.5,SL,12,-0.003123672962019745
1.75,2.0,TP,13,0.016683640283763457
1.75,3.5,SL,10,-0.004178896238570521
2.0,3.0,TIMEOUT,16,0.00208227908812115
2.0,2.0,SL,2,-0.0033450231537938426
1.5,2.5,SL,4,-0.0031608128135572964
1.0,1.5,SL,16,-0.0021520857225986573
